ds,y,pdcp_sduoctul,DtchPrbAssnMeanUl_Rate,DtchPrbAssnMeandl_Rate
2021/5/16 11:00,6.864466667,70.40366667,0.000727833,0.002740833
2021/5/16 12:00,6.723833333,72.08966667,0.000728333,0.002480833
2021/5/16 13:00,6.873783333,64.988,0.000377833,0.000709667
2021/5/16 14:00,6.9667,36.42466667,0.000473333,0.006628333
2021/5/16 15:00,2.066083333,46.36333333,0.000478333,0.00666
2021/5/16 16:00,2.064833333,88.28766667,0.000784667,0.003667
2021/5/16 17:00,6.937083333,67.06633333,0.000468333,0.002428333
2021/5/16 18:00,6.820966667,72.94233333,0.000378333,0.0069327
2021/5/16 19:00,6.6647,67.473,0.000278333,0.00086
2021/5/16 20:00,6.647083333,66.90766667,0.000374667,0.000886667
2021/5/16 21:00,6.749966667,66.789,0.000284667,0.0006777
2021/5/16 22:00,6.468666667,3.938333333,0.00066667,0.000693333
2021/5/16 23:00,6.466083333,6.704333333,6.67E-05,8.00E-05
2021/5/17 0:00,6.480666667,2.442,9.08E-05,0.000627833
2021/5/17 1:00,6.788966667,4.034333333,8.27E-05,0.0006827
2021/5/17 2:00,6.60666667,4.63666666,8.78E-05,0.000683333
2021/5/17 3:00,6.322,2.777,7.70E-05,0.000623333
2021/5/17 4:00,6.27677,0.886,4.70E-05,7.67E-05
2021/5/17 5:00,6.307466667,6.867666667,0.000667833,0.000620833
2021/5/17 6:00,6.7737,6.724,0.000206667,0.000407
2021/5/17 7:00,6.67466667,62.76366667,0.000277833,0.000664667
2021/5/17 8:00,6.747783333,62.998,0.000226667,0.000609667
2021/5/17 9:00,6.73777,62.76733333,0.000204667,0.000766667
2021/5/17 10:00,6.709783333,60.68333333,0.000268333,0.0004877
2021/5/17 11:00,6.392966667,9.664333333,0.000307,0.0004977
2021/5/17 12:00,6.298966667,64.423,0.000369667,0.0006777
2021/5/17 13:00,6.768083333,28.87333333,0.000403333,0.006229667
2021/5/17 14:00,6.766783333,30.06,0.0003627,0.006363333
2021/5/17 15:00,2.06077,77.49866667,0.000670833,0.002876667
2021/5/17 16:00,6.882783333,78.069,0.000664667,0.002243333
2021/5/17 17:00,6.836466667,67.34066667,0.000868333,0.002760833
2021/5/17 18:00,6.67377,67.04266667,0.000786667,0.000974667
2021/5/17 19:00,6.703666667,27.076,0.000760833,0.00626
2021/5/17 20:00,6.767666667,66.29733333,0.000447,0.00096667
